,tile_ID,geometry,position
86,86,"POLYGON ((-73.98658561832193 40.76053291509339, -73.98658561832193 40.76563590216109, -73.97984825369103 40.76563590216109, -73.97984825369103 40.76053291509339, -73.98658561832193 40.76053291509339))","[9, 15]"
87,87,"POLYGON ((-73.98658561832193 40.76563590216109, -73.98658561832193 40.77073849742729, -73.97984825369103 40.77073849742729, -73.97984825369103 40.76563590216109, -73.98658561832193 40.76563590216109))","[9, 16]"
88,88,"POLYGON ((-73.98658561832193 40.77073849742729, -73.98658561832193 40.77584070088161, -73.97984825369103 40.77584070088161, -73.97984825369103 40.77073849742729, -73.98658561832193 40.77073849742729))","[9, 17]"
89,89,"POLYGON ((-73.98658561832193 40.77584070088161, -73.98658561832193 40.78094251251368, -73.97984825369103 40.78094251251368, -73.97984825369103 40.77584070088161, -73.98658561832193 40.77584070088161))","[9, 18]"
90,90,"POLYGON ((-73.98658561832193 40.78094251251368, -73.98658561832193 40.78604393231313, -73.97984825369103 40.78604393231313, -73.97984825369103 40.78094251251368, -73.98658561832193 40.78094251251368))","[9, 19]"
91,91,"POLYGON ((-73.98658561832193 40.78604393231313, -73.98658561832193 40.79114496026963, -73.97984825369103 40.79114496026963, -73.97984825369103 40.78604393231313, -73.98658561832193 40.78604393231313))","[9, 20]"
92,92,"POLYGON ((-73.98658561832193 40.79114496026963, -73.98658561832193 40.79624559637284, -73.97984825369103 40.79624559637284, -73.97984825369103 40.79114496026963, -73.98658561832193 40.79114496026963))","[9, 21]"
93,93,"POLYGON ((-73.97984825369103 40.70948149762803, -73.97984825369103 40.71458840213665, -73.97311088906014 40.71458840213665, -73.97311088906014 40.70948149762803, -73.97984825369103 40.70948149762803))","[10, 5]"
94,94,"POLYGON ((-73.97984825369103 40.71458840213665, -73.97984825369103 40.71969491494836, -73.97311088906014 40.71969491494836, -73.97311088906014 40.71458840213665, -73.97984825369103 40.71458840213665))","[10, 6]"
95,95,"POLYGON ((-73.97984825369103 40.71969491494836, -73.97984825369103 40.72480103605261, -73.97311088906014 40.72480103605261, -73.97311088906014 40.71969491494836, -73.97984825369103 40.71969491494836))","[10, 7]"
96,96,"POLYGON ((-73.97984825369103 40.72480103605261, -73.97984825369103 40.72990676543892, -73.97311088906014 40.72990676543892, -73.97311088906014 40.72480103605261, -73.97984825369103 40.72480103605261))","[10, 8]"
97,97,"POLYGON ((-73.97984825369103 40.72990676543892, -73.97984825369103 40.7350121030968, -73.97311088906014 40.7350121030968, -73.97311088906014 40.72990676543892, -73.97984825369103 40.72990676543892))","[10, 9]"
98,98,"POLYGON ((-73.97984825369103 40.7350121030968, -73.97984825369103 40.74011704901576, -73.97311088906014 40.74011704901576, -73.97311088906014 40.7350121030968, -73.97984825369103 40.7350121030968))","[10, 10]"
99,99,"POLYGON ((-73.97984825369103 40.74011704901576, -73.97984825369103 40.74522160318534, -73.97311088906014 40.74522160318534, -73.97311088906014 40.74011704901576, -73.97984825369103 40.74011704901576))","[10, 11]"
100,100,"POLYGON ((-73.97984825369103 40.74522160318534, -73.97984825369103 40.7503257655951, -73.97311088906014 40.7503257655951, -73.97311088906014 40.74522160318534, -73.97984825369103 40.74522160318534))","[10, 12]"
101,101,"POLYGON ((-73.97984825369103 40.7503257655951, -73.97984825369103 40.75542953623459, -73.97311088906014 40.75542953623459, -73.97311088906014 40.7503257655951, -73.97984825369103 40.7503257655951))","[10, 13]"
102,102,"POLYGON ((-73.97984825369103 40.75542953623459, -73.97984825369103 40.76053291509339, -73.97311088906014 40.76053291509339, -73.97311088906014 40.75542953623459, -73.97984825369103 40.75542953623459))","[10, 14]"
103,103,"POLYGON ((-73.97984825369103 40.76053291509339, -73.97984825369103 40.76563590216109, -73.97311088906014 40.76563590216109, -73.97311088906014 40.76053291509339, -73.97984825369103 40.76053291509339))","[10, 15]"
104,104,"POLYGON ((-73.97984825369103 40.76563590216109, -73.97984825369103 40.77073849742729, -73.97311088906014 40.77073849742729, -73.97311088906014 40.76563590216109, -73.97984825369103 40.76563590216109))","[10, 16]"
105,105,"POLYGON ((-73.97984825369103 40.77073849742729, -73.97984825369103 40.77584070088161, -73.97311088906014 40.77584070088161, -73.97311088906014 40.77073849742729, -73.97984825369103 40.77073849742729))","[10, 17]"
106,106,"POLYGON ((-73.97984825369103 40.77584070088161, -73.97984825369103 40.78094251251368, -73.97311088906014 40.78094251251368, -73.97311088906014 40.77584070088161, -73.97984825369103 40.77584070088161))","[10, 18]"
107,107,"POLYGON ((-73.97984825369103 40.78094251251368, -73.97984825369103 40.78604393231313, -73.97311088906014 40.78604393231313, -73.97311088906014 40.78094251251368, -73.97984825369103 40.78094251251368))","[10, 19]"
108,108,"POLYGON ((-73.97984825369103 40.78604393231313, -73.97984825369103 40.79114496026963, -73.97311088906014 40.79114496026963, -73.97311088906014 40.78604393231313, -73.97984825369103 40.78604393231313))","[10, 20]"
109,109,"POLYGON ((-73.97984825369103 40.79114496026963, -73.97984825369103 40.79624559637284, -73.97311088906014 40.79624559637284, -73.97311088906014 40.79114496026963, -73.97984825369103 40.79114496026963))","[10, 21]"
110,110,"POLYGON ((-73.97984825369103 40.79624559637284, -73.97984825369103 40.80134584061246, -73.97311088906014 40.80134584061246, -73.97311088906014 40.79624559637284, -73.97984825369103 40.79624559637284))","[10, 22]"
111,111,"POLYGON ((-73.97984825369103 40.80134584061246, -73.97984825369103 40.80644569297814, -73.97311088906014 40.80644569297814, -73.97311088906014 40.80134584061246, -73.97984825369103 40.80134584061246))","[10, 23]"
112,112,"POLYGON ((-73.97311088906014 40.71458840213665, -73.97311088906014 40.71969491494836, -73.96637352442923 40.71969491494836, -73.96637352442923 40.71458840213665, -73.97311088906014 40.71458840213665))","[11, 6]"
113,113,"POLYGON ((-73.97311088906014 40.71969491494836, -73.97311088906014 40.72480103605261, -73.96637352442923 40.72480103605261, -73.96637352442923 40.71969491494836, -73.97311088906014 40.71969491494836))","[11, 7]"
114,114,"POLYGON ((-73.97311088906014 40.72480103605261, -73.97311088906014 40.72990676543892, -73.96637352442923 40.72990676543892, -73.96637352442923 40.72480103605261, -73.97311088906014 40.72480103605261))","[11, 8]"
115,115,"POLYGON ((-73.97311088906014 40.72990676543892, -73.97311088906014 40.7350121030968, -73.96637352442923 40.7350121030968, -73.96637352442923 40.72990676543892, -73.97311088906014 40.72990676543892))","[11, 9]"
116,116,"POLYGON ((-73.97311088906014 40.7350121030968, -73.97311088906014 40.74011704901576, -73.96637352442923 40.74011704901576, -73.96637352442923 40.7350121030968, -73.97311088906014 40.7350121030968))","[11, 10]"
117,117,"POLYGON ((-73.97311088906014 40.74011704901576, -73.97311088906014 40.74522160318534, -73.96637352442923 40.74522160318534, -73.96637352442923 40.74011704901576, -73.97311088906014 40.74011704901576))","[11, 11]"
118,118,"POLYGON ((-73.97311088906014 40.74522160318534, -73.97311088906014 40.7503257655951, -73.96637352442923 40.7503257655951, -73.96637352442923 40.74522160318534, -73.97311088906014 40.74522160318534))","[11, 12]"
119,119,"POLYGON ((-73.97311088906014 40.7503257655951, -73.97311088906014 40.75542953623459, -73.96637352442923 40.75542953623459, -73.96637352442923 40.7503257655951, -73.97311088906014 40.7503257655951))","[11, 13]"
120,120,"POLYGON ((-73.97311088906014 40.75542953623459, -73.97311088906014 40.76053291509339, -73.96637352442923 40.76053291509339, -73.96637352442923 40.75542953623459, -73.97311088906014 40.75542953623459))","[11, 14]"
121,121,"POLYGON ((-73.97311088906014 40.76053291509339, -73.97311088906014 40.76563590216109, -73.96637352442923 40.76563590216109, -73.96637352442923 40.76053291509339, -73.97311088906014 40.76053291509339))","[11, 15]"
